trans_id,lang,translation
岐阜市,ja,岐阜市
岐阜市,ja-Hrkt,ぎふし
岐阜市,en,Gifu city
JA・地域包括厚見,ja,JA・地域包括厚見
JA・地域包括厚見,ja-Hrkt,じぇいえいちいきほうかつあつみ
JA・地域包括厚見,en,JA/Chiikihokatsu Atsumi
JAぎふ三輪支店,ja,JAぎふ三輪支店
JAぎふ三輪支店,ja-Hrkt,じぇいえいぎふみわしてん
JAぎふ三輪支店,en,JA Gifu Miwashiten
ＪＡぎふ則武支店,ja,ＪＡぎふ則武支店
ＪＡぎふ則武支店,ja-Hrkt,じぇいえいぎふのりたけしてん
ＪＡぎふ則武支店,en,JA Gifu Noritakeshiten
JAぎふ南長森支店,ja,JAぎふ南長森支店
JAぎふ南長森支店,ja-Hrkt,じぇいえいぎふみなみながもりしてん
JAぎふ南長森支店,en,JA Gifu Minaminagamorishiten
ＪＡ岩野田支店,ja,ＪＡ岩野田支店
ＪＡ岩野田支店,ja-Hrkt,じぇいえいいわのだしてん
ＪＡ岩野田支店,en,JA Iwanodashiten
JA常磐支店前,ja,JA常磐支店前
JA常磐支店前,ja-Hrkt,じぇいえいときわしてんまえ
JA常磐支店前,en,JA Tokiwashiten-mae
ＪＡ日置江支店前,ja,ＪＡ日置江支店前
ＪＡ日置江支店前,ja-Hrkt,じぇいえいひきえしてんまえ
ＪＡ日置江支店前,en,JA Hikieshiten-mae
JA日野支店南,ja,JA日野支店南
JA日野支店南,ja-Hrkt,じぇいえいひのしてんみなみ
JA日野支店南,en,JA Hinoshiten-minami
JA藍川・竹内病院・ピノキオ薬局前,ja,JA藍川・竹内病院・ピノキオ薬局前
JA藍川・竹内病院・ピノキオ薬局前,ja-Hrkt,じぇいえいあいかわ・たけうちいいん・ぴのきおやっきょくまえ
JA藍川・竹内病院・ピノキオ薬局前,en,JA Aikawa/Takeuchi Iin/Pinocchio Yakkyoku-mae
JA鶉支店前,ja,JA鶉支店前
JA鶉支店前,ja-Hrkt,じぇいえいうずらしてんまえ
JA鶉支店前,en,JA Uzurashiten-mae
ＪＡ黒野支店前,ja,ＪＡ黒野支店前
ＪＡ黒野支店前,ja-Hrkt,じぇいえいくろのしてんまえ
ＪＡ黒野支店前,en,JA Kuronoshiten-mae
ＪＲ岐阜駅南口,ja,ＪＲ岐阜駅南口
ＪＲ岐阜駅南口,ja-Hrkt,じぇいあーるぎふえきみなみぐち
ＪＲ岐阜駅南口,en,JR Gifueki-minamiguchi(JR Gifu Sta.-south entrance)
ＮＴＴ本荘,ja,ＮＴＴ本荘
ＮＴＴ本荘,ja-Hrkt,えぬてぃーてぃーほんじょう
ＮＴＴ本荘,en,NTT Honjo
Vドラッグ・アクトス前【廃止】,ja,Vドラッグ・アクトス前【廃止】
Vドラッグ・アクトス前【廃止】,ja-Hrkt,ぶいどらっぐ・あくとすまえ
Vドラッグ・アクトス前【廃止】,en,V Drug/AXTOS-mae
Vドラッグ前,ja,Vドラッグ前
Vドラッグ前,ja-Hrkt,ぶいどらっぐまえ
Vドラッグ前,en,V Drug-mae
Vドラッグ又丸店,ja,Vドラッグ又丸店
Vドラッグ又丸店,ja-Hrkt,ぶいどらっぐまたまるてん
Vドラッグ又丸店,en,V Drug Matamaruten
あいレディスクリニック,ja,あいレディスクリニック
あいレディスクリニック,ja-Hrkt,あいれでぃすくりにっく
あいレディスクリニック,en,Ai Ladies Clinic
あかね公園・市営アパート前,ja,あかね公園・市営アパート前
あかね公園・市営アパート前,ja-Hrkt,あかねこうえん・しえいあぱーとまえ
あかね公園・市営アパート前,en,Akane Koen(Akane Park)/Shiei Apato-mae(Shiei Apartment) 
アミカ北,ja,アミカ北
アミカ北,ja-Hrkt,あみかきた
アミカ北,en,Amika-kita
イオン各務原店,ja,イオン各務原店
イオン各務原店,ja-Hrkt,いおんかかみがはらてん
イオン各務原店,en,AEON Kakamigaharaten
イオン柳津店,ja,イオン柳津店
イオン柳津店,ja-Hrkt,いおんやないづてん
イオン柳津店,en,AEON Yanaizuten
イオン柳津店南口,ja,イオン柳津店南口
イオン柳津店南口,ja-Hrkt,いおんやないづてんみなみぐち
イオン柳津店南口,en,AEON Yanaizuten-minamiguchi
イトーパッケージ前,ja,イトーパッケージ前
イトーパッケージ前,ja-Hrkt,いとーぱっけーじまえ
イトーパッケージ前,en,Ito Package-mae
いながき理容店・松野酒店前,ja,いながき理容店・松野酒店前
いながき理容店・松野酒店前,ja-Hrkt,いながきりようてん・まつのさけてんまえ
いながき理容店・松野酒店前,en,Inagaki Riyoten/Matsuno Saketen-mae
いぼ神・八幡神社,ja,いぼ神・八幡神社
いぼ神・八幡神社,ja-Hrkt,いぼがみ・はちまんじんじゃ
いぼ神・八幡神社,en,Ibogami/Hachimanjinja
ウエルシア岐阜琴塚店,ja,ウエルシア岐阜琴塚店
ウエルシア岐阜琴塚店,ja-Hrkt,うえるしあぎふことづかてん
ウエルシア岐阜琴塚店,en,Welcia Gifu Kotozukaten
うおいち前,ja,うおいち前
うおいち前,ja-Hrkt,うおいちまえ
うおいち前,en,Uoichi-mae
うおよし前,ja,うおよし前
うおよし前,ja-Hrkt,うおよしまえ
うおよし前,en,Uoyoshi-mae
うずら歯科,ja,うずら歯科
うずら歯科,ja-Hrkt,うずらしか
うずら歯科,en,Uzura Shika
えんま堂,ja,えんま堂
えんま堂,ja-Hrkt,えんまどう
えんま堂,en,Emmado
オーキッドパーク,ja,オーキッドパーク
オーキッドパーク,ja-Hrkt,おーきっどぱーく
オーキッドパーク,en,Orchidpark
おおくま歯科前,ja,おおくま歯科前
おおくま歯科前,ja-Hrkt,おおくましかまえ
おおくま歯科前,en,Okuma Shika-mae
オークワ西改田店,ja,オークワ西改田店
